,Epoch,Value
0,1,0.02601173147559166
1,2,0.0026978340465575457
2,3,0.0010699047707021236
3,4,0.0007628340390510857
4,5,0.0006049814983271062
5,6,0.0005000227247364819
6,7,0.0004272747319191694
7,8,0.0003767382586374879
8,9,0.00034131782012991607
9,10,0.0003157636383548379
10,11,0.000296357786282897
11,12,0.0002812973107211292
12,13,0.000269004114670679
13,14,0.00025901064509525895
14,15,0.0002503112191334367
15,16,0.0002427345170872286
16,17,0.00023585447343066335
17,18,0.00022956125030759722
18,19,0.0002239029126940295
19,20,0.00021840039698872715
20,21,0.0002134253882104531
21,22,0.00020881844102405012
22,23,0.00020463667169678956
23,24,0.00020100756955798715
24,25,0.00019820724264718592
25,26,0.00019602682732511312
26,27,0.00019466275989543647
27,28,0.00019325515313539654
28,29,0.00019241638074163347
29,30,0.00019186253484804183
30,31,0.0001915136817842722
31,32,0.00019106740364804864
32,33,0.00019085162784904242
33,34,0.00019066527602262795
34,35,0.00019039151084143668
35,36,0.00019002451153937727
36,37,0.00018992042168974876
37,38,0.00018985162023454905
38,39,0.00018976150022353977
39,40,0.00018959229055326432
40,41,0.00018940484733320773
41,42,0.00018932217790279537
42,43,0.00018893244850914925
43,44,0.00018911166989710182
44,45,0.0001887727266876027
45,46,0.00018886262841988355
46,47,0.0001884494413388893
47,48,0.0001885586534626782
48,49,0.00018856587121263146
49,50,0.00018833071226254106
50,51,0.00018816317606251687
51,52,0.00018800830002874136
52,53,0.0001882315264083445
53,54,0.00018775682838167995
54,55,0.00018765416461974382
55,56,0.000187613521120511
56,57,0.00018767926667351276
57,58,0.00018738573999144137
58,59,0.00018761580577120185
59,60,0.0001874017616501078
60,61,0.00018721709784585983
61,62,0.000187344616279006
62,63,0.00018687648116610944
63,64,0.0001871866697911173
64,65,0.00018683960661292076
65,66,0.00018680487119127065
66,67,0.00018662553338799626
67,68,0.00018669497512746602
68,69,0.0001864810910774395
69,70,0.00018658715998753905
70,71,0.00018636442837305367
71,72,0.00018654702580533922
72,73,0.00018613615247886628
73,74,0.00018612248823046684
74,75,0.00018591135449241847
75,76,0.00018597343296278268
76,77,0.00018579349853098392
77,78,0.0001860238699009642
78,79,0.00018555547285359353
79,80,0.00018537208961788565
80,81,0.00018539738084655255
81,82,0.0001853181456681341
82,83,0.00018519838340580463
83,84,0.00018487247871235013
84,85,0.00018467755580786616
85,86,0.000184509830432944
86,87,0.00018450127390678972
87,88,0.00018402503337711096
88,89,0.00018353179621044546
89,90,0.0001831398840295151
90,91,0.00018284162797499448
91,92,0.00018256600014865398
92,93,0.00018218666082248092
93,94,0.00018191729031968862
94,95,0.00018159578030463308
95,96,0.00018122175242751837
96,97,0.00018106815696228296
97,98,0.0001804009370971471
98,99,0.0001799807942006737
99,100,0.00017917569493874907
100,101,0.00017848525021690875
101,102,0.0001778500445652753
102,103,0.00017740641487762332
103,104,0.0001769832888385281
104,105,0.00017657989519648254
105,106,0.00017623820167500526
106,107,0.00017585049499757588
107,108,0.00017556463717482984
108,109,0.00017529515025671571
109,110,0.00017479095549788326
110,111,0.0001748463837429881
111,112,0.00017429485160391778
112,113,0.00017401285003870726
113,114,0.00017371504509355873
114,115,0.0001734424731694162
115,116,0.00017319017206318676
116,117,0.0001728318602545187
117,118,0.00017261484754271805
118,119,0.00017232573009096086
119,120,0.00017207965720444918
120,121,0.00017169515194837004
121,122,0.00017160025890916586
122,123,0.00017125911836046726
123,124,0.00017106370069086552
124,125,0.00017090915935114026
125,126,0.00017049490998033434
126,127,0.00017038344230968505
127,128,0.00017024789121933281
128,129,0.00016985350521281362
129,130,0.00016974861500784755
130,131,0.00016945626703090966
131,132,0.00016923634393606335
132,133,0.00016888893151190132
133,134,0.00016869031242094934
134,135,0.00016840723401401192
135,136,0.00016813275578897446
136,137,0.00016803370090201497
137,138,0.00016764890460763127
138,139,0.0001673357473919168
139,140,0.00016713708464521915
140,141,0.00016689414042048156
141,142,0.00016678149404469877
142,143,0.00016653083730489016
143,144,0.00016649323515594006
144,145,0.00016615705681033432
145,146,0.00016602464893367141
146,147,0.0001659441040828824
147,148,0.0001657218235777691
148,149,0.00016552195302210748
149,150,0.0001654305960983038
