,Date,ID,Timeseries ID,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
0,2015-04-09,month_cos,Timeseries,,,,,,,,,,,,,,,,,,,,,,,,-0.4999999999999997
1,2015-04-09,month_sin,Timeseries,,,,,,,,,,,,,,,,,,,,,,,,0.8660254037844387
2,2015-04-09,year,Timeseries,,,,,,,,,,,,,,,,,,,,,,,,2015.0
3,2015-04-10,month_cos,Timeseries,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997
4,2015-04-10,month_sin,Timeseries,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387
5,2015-04-10,year,Timeseries,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0
6,2015-04-11,month_cos,Timeseries,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997
7,2015-04-11,month_sin,Timeseries,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387
8,2015-04-11,year,Timeseries,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0
9,2015-04-12,month_cos,Timeseries,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997
10,2015-04-12,month_sin,Timeseries,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387
11,2015-04-12,year,Timeseries,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0
12,2015-04-13,month_cos,Timeseries,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997,-0.4999999999999997
13,2015-04-13,month_sin,Timeseries,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387
